id,hasTopicID,hasNodeID,hasRelation,hasParentNode,hadLogicalOrder,hasQuranicTermArabic,hasScientificKeywords,hasTafsirSummary,Surah:Ayah,hasType,hasSourceBook,hasReferencedPdfName,hasScientificKeywordsArabic,hasTafsirID
1,BigBang_CosmosExpansion,BigBang_CosmosExpansion_01,root_node,NULL,1,رَتْقًا,Singularity/Fused Mass,Text describes the initial state of the universe as a single joined entity with near-zero volume and infinite density.,21:30,Process,Tafsir Ayat al-Kawniyah,bigbang and expansion of universe 2 / bigbang and expansion of universe 1 / bigbang and expansion of universe 3 ,جرم ابتدائي واحد / رتق,TAAK_1_7_54 / TAAK_2_21_30 / TAAK_3_51_47
2,BigBang_CosmosExpansion,BigBang_CosmosExpansion_02,transforms_into,BigBang_CosmosExpansion_01,2,فَفَتَقْنَاهُمَا,Big Bang/Cosmic Inflation,Text describes the violent separation or splitting of the initial fused mass.,21:30,Process,Tafsir Ayat al-Kawniyah,bigbang and expansion of universe 2 / bigbang and expansion of universe 1 / bigbang and expansion of universe 3 ,انفجار / فتق,TAAK_1_7_54 / TAAK_2_21_30 / TAAK_3_51_47
3,BigBang_CosmosExpansion,BigBang_CosmosExpansion_03,originates_from,BigBang_CosmosExpansion_02,3,دُخَانٌ,Cosmic Smoke/Nebula,Text states the sky transformed into a gaseous/smoky state immediately after the separation.,41:11,Process,Tafsir Ayat al-Kawniyah,bigbang and expansion of universe 2 / bigbang and expansion of universe 1 / bigbang and expansion of universe 3 ,غلالة من الدخان,TAAK_1_7_54 / TAAK_2_21_30 / TAAK_3_51_47
4,BigBang_CosmosExpansion,BiBigBang_CosmosExpansion_04,composed_of,BigBang_CosmosExpansion_03,0,Tafsir-Derived,Hydrogen and Helium Nuclei,Text explains the smoke contained protons and neutrons forming initial H and He nuclei.,NULL,Process,Tafsir Ayat al-Kawniyah,bigbang and expansion of universe 2 / bigbang and expansion of universe 1 ,من مثل الإيدروجين والهيليوم,TAAK_1_7_54 / TAAK_2_21_30
5,BigBang_CosmosExpansion,BigBang_CosmosExpansion_05,has_property,BigBang_CosmosExpansion_03,0,Tafsir-Derived,Thermal Radiation,Text links the initial heat of the smoke to modern Cosmic Microwave Background (CMB) radiation.,NULL,Process,Tafsir Ayat al-Kawniyah,bigbang and expansion of universe 2 ,الإشعاع الحراري الكوني,TAAK_2_21_30
6,BigBang_CosmosExpansion,BigBang_CosmosExpansion_06,characterizes,BigBang_CosmosExpansion_02,0,لَمُوسِعُونَ,Metric Expansion of Space,Text affirms the continuous widening and expansion of the constructed heaven.,51:47,Process,Tafsir Ayat al-Kawniyah,bigbang and expansion of universe 2 / bigbang and expansion of universe 3,توسع الكون,TAAK_2_21_30 / TAAK_3_51_47
7,BigBang_CosmosExpansion,BigBang_CosmosExpansion_07,contrast_with,BigBang_CosmosExpansion_06,0,طَيَّ ٱلسِّجِلِّ,Big Crunch/Gravitational Collapse,Text describes the future reversal of expansion folding the universe like a scroll.,21:104,Process,Tafsir Ayat al-Kawniyah,bigbang and expansion of universe 3 / bigbang and expansion of universe 2 ,الانسحاق الشديد للكون,TAAK_2_21_30 / TAAK_3_51_47
8,BigBang_CosmosExpansion,BigBang_CosmosExpansion_08,causes,BigBang_CosmosExpansion_03,0,Tafsir-Derived,Star Formation/Nuclear Fusion,Text explains how gravity condensed the smoke to ignite stars and fuse elements.,NULL,Process,Tafsir Ayat al-Kawniyah,bigbang and expansion of universe 2 ,الاندماج النووى,TAAK_2_21_30
9,ESTUARY,ESTUARY_01,root_node,NULL,0,بَرْزَخًا,Pycnocline/Estuarine Barrier,Text defines the barrier as a zone preventing immediate mixing between distinct water bodies.,55:20,Entity,Tafsir Ayat al-Kawniyah,Barriers bw waters 3 pages_51_to_61,حاجز / جبهة مائية / منطقة فصل,TAAK_4_55_19-20
10,ESTUARY,ESTUARY_02,interacts_with,ESTUARY_01,0,عَذْبٌ فُرَاتٌ,Fresh Water (Riverine),Text describes palatable river water flowing into the sea.,25:53,Entity,Tafsir Ayat al-Kawniyah,Barrier between waters_1_342_347 / Barrier bw waters 2_386_394 ,عذب فرات / النهر العذب,TAAK_2_25_53 / TAAK_2_27_61
